nn;chapter;article;paragraph;name;summ
;;9;;Содержаніе домовъ;16000
;;10;;Наемъ пом?щеній;20400
;;11;;Расходы по изданію «Журнала Министерства Народнаго Просв?щенія» и «Изв?стій по народному образованію» вм?ст? съ «Справочной книгой по низшему образованію»;69920
180;2;;;Содержаніе м?стныхъ учрежденій;3468824
;;1;;Управленія учебныхъ округовъ и Управленія учебными заведеніями Сибири и Туркестана:;565367
;;;а;личный составъ;499437
;;;б;канцелярскіе и хозяйственные расходы;65930
;;2;;Дирекціи народныхъ училищъ, инспекція училищъ г. Варшавы, учебныя дирекціи Варшавскаго учебнаго округа и дирекціи русскихъ учебныхъ заведеній въ Финляндіи:;525966
;;;а;личный составъ (директоры, инспекторъ училищъ г. Варшавы и д?лопроизводители при нихъ);401666
;;;б;канцелярскіе и хозяйственные расходы;124300
;;3;;Инспекціи народныхъ училищъ:;2213591
;;;а;личный составъ (инспекторы, помощники инспектора училищъ г. Варшавы и д?лопроизводители при нихъ);1840391
;;;б;канцелярскіе расходы;373200
;;4;;Училищные сов?ты;125250
;;5;;Выдачи по м?стнымъ привилегіямъ службы:;38650
;;;б;прибавочное жалованье;32400
;;;в;пособія на воспитаніе д?тей;6250
181;3;;;Разные расходы администраціи;218080
;;1;;Путевое доволъствіе:;116080
;;;а;лицамъ, командируемымъ по д?ламъ службы и опред?ляемымъ къ должностямъ;68500
;;;б;на разъ?зды по округамъ;47580
;;2;;Награды и пособія;89000
;;3;;Пособія на воспитаніе д?тей;13000
;;;;Просв?щенiе, науки и искусства;None
182;4;;;Содержаніе ученыхъ учрежденій;1709554
;;1;;Императорскія Академія Наукъ:;583550
;;;а;личный составъ;268392
;;;б;ученая часть;128398
;;;в;канцелярскіе и хозяйственные расходы;91760
;;;г;содержаніе академической типографіи;95000
;;2;;Астрономическія, физическія, магнитныя и метеорологическія обсерваторіи и станціи и сейсмическія учрежденія:;452001
;;;а;личный составъ;158602
;;;б;ученая часть;230636
;;;в;канцелярскіе и хозяйственные расходы;62763
;;3;;Императорская Публичная Библіотека:;243779
;;;а;личный составъ;94799
;;;б;расходы по пріобр?тенію и содержанію книгъ и рукописей;87000
;;;в;канцелярскіе и хозяйственные расходы;61980
